Gauge,25yr,50yr,100yr,25yr_a31,50yr_a31,100yr_a31,25yr_b31,50yr_b31,100yr_b31
57,77.0093316,90.50930284,105.1818297,69.41993248,79.93664653,91.07541647,83.99507699,99.2325767,115.7512074
58,80.02622009,93.93564231,108.818482,70.28941661,80.80844557,91.85772212,87.97114808,103.6048477,120.1699719
59,84.53806548,99.77772684,116.4238335,78.53739576,92.01097483,106.659404,89.45055063,105.8526424,123.8130933
60,78.61891976,91.70204347,105.5983894,70.44072526,81.22522638,92.51923069,85.37315851,99.69542728,114.8724077
61,76.69978289,88.88077762,101.7144782,70.85243677,81.35155992,92.304445,81.90603447,95.10477654,108.9705716
62,75.75209347,87.57096047,100.0505961,69.56797087,79.24735798,89.20877836,81.27985176,94.43850951,108.2837065
63,84.57544866,99.35133893,115.1982413,80.88743795,94.87982545,109.985648,87.46476073,102.7452395,119.064695
64,84.69206687,99.3333317,114.9525394,75.57156632,88.35138373,101.9483179,91.37463757,107.0480285,123.7597925
65,80.96749211,95.05091522,110.1456468,69.9599156,80.43722459,91.32465398,89.9064184,105.7232884,122.5735083
66,77.33889836,90.46872916,104.608478,69.65637298,79.83316702,90.4610529,84.15480822,99.0410499,114.9429858
67,84.0493161,99.57202723,116.5651611,74.94706901,87.07631667,99.75688041,91.72146429,109.5824902,129.2082616
68,81.39114921,96.91401225,114.1777724,69.22240591,80.04697737,91.59258479,91.36604604,109.3608719,129.2536971
69,83.87841057,98.54256129,114.1612619,80.62759104,94.56093866,109.3521,86.31814934,101.5384528,117.8047118
70,81.71181733,95.81509578,110.9174582,76.4267206,88.73071347,101.6941658,86.10919133,101.5512603,118.1623164
71,76.93549693,91.08894008,106.2848621,69.28415832,81.16356468,93.85774262,83.13460712,98.60448873,115.1712978
72,77.78212134,90.98395726,105.2293231,68.98667014,78.78337211,89.00386192,85.44985835,100.4755096,116.5272986
74,77.54550767,92.23980137,108.6353875,71.14138045,82.34688811,94.1745237,83.75844466,101.1806184,120.6852749
76,80.53210061,95.63208549,112.2510404,81.09086486,96.09878771,112.681022,79.34393487,94.433986,110.9989179
79,77.24431411,91.30374612,106.7755756,74.308678,87.95725483,103.5093926,79.5401463,93.68772851,108.8553345
80,77.97065104,92.11236595,107.3193881,69.11630476,79.94139864,91.34291639,85.53242369,101.4968472,118.5276476
81,73.02825083,84.97628246,97.79110976,66.8691282,76.66727024,86.95667994,78.30267351,91.60629903,105.8695283
82,79.02706944,92.10798815,106.0647939,71.16473502,81.50929228,92.20312633,86.11609477,100.8010626,116.4059603
83,74.79368111,87.8370313,102.1587266,67.16653212,77.1400695,87.60297627,81.70668051,96.68129849,113.1815608
87,77.4479053,91.18314091,105.9683129,70.19405116,81.76099163,94.06546366,83.35364265,98.40341266,114.5660783
88,76.94167019,90.66580698,105.654161,77.88216674,91.95625208,107.5012799,75.54432967,88.79145014,103.1081019
89,77.91244982,92.22451967,107.9262968,79.89191592,94.56444506,110.6227934,75.18397592,88.9598183,104.1350591
90,76.01856637,89.5035322,104.3746751,76.61680592,90.27025974,105.4104945,74.92218175,88.11565943,102.609875
91,81.18710321,95.18991717,110.2719514,75.3232005,87.88275368,101.3398277,85.98904363,100.9046867,117.0091781
92,87.98927943,107.6606095,130.5755797,97.74996718,122.050187,150.0853371,78.0692059,91.84956929,106.7401359
100,82.57947095,97.38994289,113.5080111,85.50766834,101.6922849,119.5084869,79.1736807,92.39558676,106.4421566
